Model,Accuracy,Macro F1,Conflict F1,Negative F1,Neutral F1,Positive F1
Hybrid (LSTM+GAT),71.84115523465704,0.5962437013302012,0.5,0.5610859728506787,0.4883720930232558,0.8355167394468704
LSTM,67.32851985559567,0.517543165289665,0.1951219512195122,0.5647058823529412,0.5024630541871922,0.8078817733990148
GAT,70.3971119133574,0.5035214540094903,0.13333333333333333,0.5511111111111111,0.5139664804469274,0.8156748911465893
